period_start,period_end,pair_name,best_entry_time,best_entry_call_price,best_entry_put_price,best_entry_combined_price,minutes_to_end_at_entry,best_exit_time,best_exit_call_price,best_exit_put_price,best_exit_combined_price,minutes_to_end_at_exit,profit,profit_pct,holding_period_seconds
2025-12-18 13:15:00,2025-12-18 13:30:00,SOL_CALL+SOL_PUT,2025-12-18 13:28:58,0.02,0.99,1.01,1.03,2025-12-18 13:28:59,0.01,0.98,0.99,1.01,-0.02,-1.98,1
2025-12-18 13:30:00,2025-12-18 13:45:00,BTC_CALL+BTC_PUT,2025-12-18 13:30:07,0.72,0.26,0.98,14.88,2025-12-18 13:30:08,0.74,0.25,0.99,14.86,0.01,1.02,1
2025-12-18 13:30:00,2025-12-18 13:45:00,BTC_CALL+ETH_PUT,2025-12-18 13:32:11,0.75,0.2,0.95,12.81,2025-12-18 13:36:01,0.83,0.32,1.15,8.98,0.2,21.05,230
2025-12-18 13:30:00,2025-12-18 13:45:00,BTC_CALL+SOL_PUT,2025-12-18 13:30:05,0.68,0.3,0.98,14.91,2025-12-18 13:36:03,0.86,0.35,1.21,8.95,0.23,23.47,358
2025-12-18 13:30:00,2025-12-18 13:45:00,BTC_CALL+XRP_PUT,2025-12-18 13:30:03,0.65,0.3,0.95,14.94,2025-12-18 13:31:12,0.83,0.23,1.06,13.79,0.11,11.58,69
2025-12-18 13:30:00,2025-12-18 13:45:00,ETH_CALL+BTC_PUT,2025-12-18 13:30:07,0.58,0.26,0.84,14.88,2025-12-18 13:33:17,0.78,0.28,1.06,11.7,0.22,26.19,191
2025-12-18 13:30:00,2025-12-18 13:45:00,ETH_CALL+ETH_PUT,2025-12-18 13:30:06,0.52,0.49,1.01,14.89,2025-12-18 13:30:09,0.65,0.34,0.99,14.84,-0.02,-1.98,3
2025-12-18 13:30:00,2025-12-18 13:45:00,ETH_CALL+SOL_PUT,2025-12-18 13:30:05,0.49,0.3,0.79,14.91,2025-12-18 13:33:15,0.8,0.28,1.08,11.74,0.29,36.71,191
2025-12-18 13:30:00,2025-12-18 13:45:00,ETH_CALL+XRP_PUT,2025-12-18 13:30:03,0.49,0.3,0.79,14.94,2025-12-18 13:31:25,0.84,0.2,1.04,13.57,0.25,31.65,82
2025-12-18 13:30:00,2025-12-18 13:45:00,SOL_CALL+BTC_PUT,2025-12-18 13:36:03,0.65,0.14,0.79,8.95,2025-12-18 13:39:36,0.96,0.01,0.97,5.39,0.18,22.78,214
2025-12-18 13:30:00,2025-12-18 13:45:00,SOL_CALL+ETH_PUT,2025-12-18 13:33:15,0.72,0.2,0.9199999999999999,11.74,2025-12-18 13:35:35,0.67,0.38,1.05,9.41,0.13,14.13,139
2025-12-18 13:30:00,2025-12-18 13:45:00,SOL_CALL+SOL_PUT,2025-12-18 13:30:04,0.7,0.31,1.01,14.93,2025-12-18 13:30:09,0.75,0.24,0.99,14.84,-0.02,-1.98,5
2025-12-18 13:30:00,2025-12-18 13:45:00,SOL_CALL+XRP_PUT,2025-12-18 13:35:43,0.63,0.16,0.79,9.28,2025-12-18 13:39:50,0.97,0.02,0.99,5.15,0.2,25.32,248
2025-12-18 13:30:00,2025-12-18 13:45:00,XRP_CALL+BTC_PUT,2025-12-18 13:30:40,0.83,0.11,0.94,14.33,2025-12-18 13:33:04,0.9,0.16,1.06,11.92,0.12,12.77,144
2025-12-18 13:30:00,2025-12-18 13:45:00,XRP_CALL+ETH_PUT,2025-12-18 13:31:25,0.8,0.16,0.9600000000000001,13.57,2025-12-18 13:35:53,0.81,0.34,1.1500000000000001,9.11,0.19,19.79,268
2025-12-18 13:30:00,2025-12-18 13:45:00,XRP_CALL+SOL_PUT,2025-12-18 13:31:24,0.8,0.16,0.9600000000000001,13.59,2025-12-18 13:35:43,0.84,0.37,1.21,9.28,0.25,26.04,259
2025-12-18 13:30:00,2025-12-18 13:45:00,XRP_CALL+XRP_PUT,2025-12-18 13:30:06,0.71,0.3,1.01,14.89,2025-12-18 13:30:09,0.76,0.23,0.99,14.84,-0.02,-1.98,3
2025-12-18 13:45:00,2025-12-18 14:00:00,BTC_CALL+BTC_PUT,2025-12-18 13:45:01,0.44,0.57,1.01,14.97,2025-12-18 13:45:04,0.41,0.58,0.99,14.92,-0.02,-1.98,3
2025-12-18 13:45:00,2025-12-18 14:00:00,BTC_CALL+ETH_PUT,2025-12-18 13:49:36,0.69,0.1,0.7899999999999999,10.39,2025-12-18 13:52:26,0.9,0.06,0.96,7.56,0.17,21.52,169
2025-12-18 13:45:00,2025-12-18 14:00:00,BTC_CALL+SOL_PUT,2025-12-18 13:56:25,0.56,0.13,0.6900000000000001,3.57,2025-12-18 13:56:48,0.79,0.16,0.9500000000000001,3.19,0.26,37.68,23
2025-12-18 13:45:00,2025-12-18 14:00:00,BTC_CALL+XRP_PUT,2025-12-18 13:45:09,0.43,0.55,0.98,14.85,2025-12-18 13:59:13,0.83,0.98,1.81,0.78,0.83,84.69,844
2025-12-18 13:45:00,2025-12-18 14:00:00,ETH_CALL+BTC_PUT,2025-12-18 13:46:23,0.52,0.37,0.89,13.61,2025-12-18 13:56:28,0.98,0.46,1.44,3.52,0.55,61.8,606
2025-12-18 13:45:00,2025-12-18 14:00:00,ETH_CALL+ETH_PUT,2025-12-18 13:45:01,0.45,0.56,1.01,14.97,2025-12-18 13:45:02,0.45,0.54,0.99,14.95,-0.02,-1.98,1
2025-12-18 13:45:00,2025-12-18 14:00:00,ETH_CALL+SOL_PUT,2025-12-18 13:46:22,0.5,0.33,0.8300000000000001,13.63,2025-12-18 13:55:35,0.97,0.23,1.2,4.41,0.37,44.58,553
2025-12-18 13:45:00,2025-12-18 14:00:00,ETH_CALL+XRP_PUT,2025-12-18 13:46:14,0.45,0.48,0.9299999999999999,13.76,2025-12-18 13:56:29,0.98,0.76,1.74,3.5,0.81,87.1,616
2025-12-18 13:45:00,2025-12-18 14:00:00,SOL_CALL+BTC_PUT,2025-12-18 13:48:48,0.67,0.29,0.96,11.19,2025-12-18 13:57:53,0.97,0.36,1.33,2.1,0.37,38.54,545
2025-12-18 13:45:00,2025-12-18 14:00:00,SOL_CALL+ETH_PUT,2025-12-18 13:45:02,0.44,0.55,0.99,14.95,2025-12-18 13:46:22,0.67,0.5,1.17,13.63,0.18,18.18,79
2025-12-18 13:45:00,2025-12-18 14:00:00,SOL_CALL+SOL_PUT,2025-12-18 13:45:02,0.44,0.57,1.01,14.95,2025-12-18 13:45:03,0.43,0.56,0.99,14.93,-0.02,-1.98,1
2025-12-18 13:45:00,2025-12-18 14:00:00,SOL_CALL+XRP_PUT,2025-12-18 13:46:09,0.56,0.47,1.03,13.85,2025-12-18 13:58:47,0.98,0.92,1.9,1.22,0.87,84.47,758
2025-12-18 13:45:00,2025-12-18 14:00:00,XRP_CALL+BTC_PUT,2025-12-18 13:48:53,0.58,0.26,0.84,11.11,2025-12-18 13:49:03,0.77,0.23,1.0,10.94,0.16,19.05,10
2025-12-18 13:45:00,2025-12-18 14:00:00,XRP_CALL+ETH_PUT,2025-12-18 13:51:00,0.45,0.17,0.62,8.99,2025-12-18 13:52:26,0.73,0.06,0.79,7.56,0.17,27.42,85
2025-12-18 13:45:00,2025-12-18 14:00:00,XRP_CALL+SOL_PUT,2025-12-18 13:52:58,0.5,0.13,0.63,7.03,2025-12-18 13:53:32,0.6,0.16,0.76,6.46,0.13,20.63,34
2025-12-18 13:45:00,2025-12-18 14:00:00,XRP_CALL+XRP_PUT,2025-12-18 13:45:08,0.46,0.55,1.01,14.87,2025-12-18 13:45:09,0.45,0.54,0.99,14.85,-0.02,-1.98,1
2025-12-18 14:00:00,2025-12-18 14:15:00,BTC_CALL+BTC_PUT,2025-12-18 14:00:02,0.49,0.52,1.01,14.97,2025-12-18 14:03:55,0.74,0.26,1.0,11.07,-0.01,-0.99,234
2025-12-18 14:00:00,2025-12-18 14:15:00,BTC_CALL+ETH_PUT,2025-12-18 14:11:13,0.26,0.4,0.66,3.77,2025-12-18 14:12:18,0.02,0.97,0.99,2.68,0.33,50.0,65
2025-12-18 14:00:00,2025-12-18 14:15:00,BTC_CALL+SOL_PUT,2025-12-18 14:11:17,0.23,0.15,0.38,3.7,2025-12-18 14:12:22,0.01,0.95,0.96,2.62,0.58,152.63,65
2025-12-18 14:00:00,2025-12-18 14:15:00,BTC_CALL+XRP_PUT,2025-12-18 14:09:48,0.59,0.24,0.83,5.19,2025-12-18 14:11:38,0.17,0.92,1.09,3.35,0.26,31.33,110
2025-12-18 14:00:00,2025-12-18 14:15:00,ETH_CALL+BTC_PUT,2025-12-18 14:00:20,0.49,0.38,0.87,14.66,2025-12-18 14:11:13,0.6,0.74,1.3399999999999999,3.77,0.47,54.02,654
2025-12-18 14:00:00,2025-12-18 14:15:00,ETH_CALL+ETH_PUT,2025-12-18 14:00:02,0.48,0.53,1.01,14.97,2025-12-18 14:10:04,0.67,0.33,1.0,4.92,-0.01,-0.99,603
2025-12-18 14:00:00,2025-12-18 14:15:00,ETH_CALL+SOL_PUT,2025-12-18 14:11:17,0.47,0.15,0.62,3.7,2025-12-18 14:12:31,0.02,0.96,0.98,2.47,0.36,58.06,74
2025-12-18 14:00:00,2025-12-18 14:15:00,ETH_CALL+XRP_PUT,2025-12-18 14:00:26,0.48,0.37,0.85,14.56,2025-12-18 14:11:32,0.46,0.85,1.31,3.45,0.46,54.12,667
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+BTC_PUT,2025-12-18 14:01:26,0.84,0.16,1.0,13.56,2025-12-18 14:11:17,0.85,0.77,1.62,3.7,0.62,62.0,591
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+ETH_PUT,2025-12-18 14:01:28,0.84,0.18,1.02,13.53,2025-12-18 14:11:17,0.85,0.53,1.38,3.7,0.36,35.29,589
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+SOL_PUT,2025-12-18 14:00:08,0.61,0.4,1.01,14.86,2025-12-18 14:01:01,0.73,0.26,0.99,13.98,-0.02,-1.98,53
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+XRP_PUT,2025-12-18 14:01:57,0.85,0.11,0.96,13.04,2025-12-18 14:11:17,0.85,0.73,1.58,3.7,0.62,64.58,560
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+BTC_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:09:48,0.76,0.41,1.17,5.19,1.15,5750.0,587
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+ETH_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:00:26,0.63,0.52,1.15,14.56,1.13,5650.0,25
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+SOL_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:01:57,0.89,0.15,1.04,13.04,1.02,5100.0,116
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+XRP_PUT,2025-12-18 14:00:02,0.51,0.5,1.01,14.97,2025-12-18 14:00:10,0.6,0.39,0.99,14.83,-0.02,-1.98,8
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+BTC_PUT,2025-12-18 14:15:01,0.52,0.49,1.01,14.97,2025-12-18 14:15:02,0.5,0.49,0.99,14.95,-0.02,-1.98,1
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+ETH_PUT,2025-12-18 14:17:00,0.73,0.17,0.9,13.0,2025-12-18 14:25:21,0.96,0.02,0.98,4.64,0.08,8.89,501
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+SOL_PUT,2025-12-18 14:16:34,0.72,0.22,0.94,13.43,2025-12-18 14:23:03,0.94,0.11,1.05,6.95,0.11,11.7,389
