type,entry_price,entry_time,entry_strike,entry_btc,entry_rsi,entry_bin,entry_seconds_remaining,entry_rsi_upper,entry_rsi_lower,exit_price,exit_time,exit_btc,pnl,exit_reason,expired_itm,date,distance_bin,time_bin,volatility_bin,win,hour,entry_price_bin,rsi_bin
PUT,0.12,2025-12-31 09:25:43,88517.59,88560.2,94.16666666636249,40-80|5m-4m|10-20,257,70,30,0.0,2025-12-31 09:30:00,88560.1,-0.12,EXPIRATION,False,2025-12-31,40-80,5m-4m,10-20,False,9,0.1-0.2,90-100
CALL,0.43,2025-12-31 09:30:22,88569.97,88542.0,3.3333333333135613,20-40|15m-13m|30-40,878,65,50,0.47,2025-12-31 09:31:53,,0.03999999999999998,RSI_SIGNAL,,2025-12-31,20-40,15m-13m,30-40,True,9,0.4-0.5,0-10
PUT,0.53,2025-12-31 09:31:53,88569.97,88552.6,97.29729729714849,10-20|15m-13m|10-20,787,65,50,0.61,2025-12-31 09:34:44,,0.07999999999999996,RSI_SIGNAL,,2025-12-31,10-20,15m-13m,10-20,True,9,0.5-0.6,90-100
CALL,0.39,2025-12-31 09:34:44,88569.97,88552.2,4.411764705728146,10-20|11m-10m|0-10,616,80,35,0.47,2025-12-31 09:36:03,,0.07999999999999996,RSI_SIGNAL,,2025-12-31,10-20,11m-10m,0-10,True,9,0.3-0.4,0-10
PUT,0.53,2025-12-31 09:36:03,88569.97,88574.2,98.6725663716062,1-5|9m-8m|20-30,537,90,25,0.38,2025-12-31 09:37:07,,-0.15000000000000002,RSI_SIGNAL,,2025-12-31,1-5,9m-8m,20-30,False,9,0.5-0.6,90-100
CALL,0.62,2025-12-31 09:37:07,88569.97,88567.2,16.498316498331334,1-5|8m-7m|30-40,473,95,20,0.74,2025-12-31 09:37:46,,0.12,RSI_SIGNAL,,2025-12-31,1-5,8m-7m,30-40,True,9,0.6-0.7,10-20
PUT,0.26,2025-12-31 09:37:46,88569.97,88590.0,96.70781892986174,20-40|8m-7m|20-30,434,95,20,0.07,2025-12-31 09:40:05,,-0.19,RSI_SIGNAL,,2025-12-31,20-40,8m-7m,20-30,False,9,0.2-0.3,90-100
CALL,0.93,2025-12-31 09:40:05,88569.97,88626.2,4.040404040077405,40-80|5m-4m|20-30,295,95,5,1.0,2025-12-31 09:45:00,88616.4,0.06999999999999995,EXPIRATION,True,2025-12-31,40-80,5m-4m,20-30,True,9,0.9-1.0,0-10
PUT,0.55,2025-12-31 09:45:42,88616.4,88616.5,98.46153846166935,0-1|15m-13m|0-10,858,95,5,0.36,2025-12-31 09:49:41,,-0.19000000000000006,RSI_SIGNAL,,2025-12-31,0-1,15m-13m,0-10,False,9,0.5-0.6,90-100
CALL,0.64,2025-12-31 09:49:41,88616.4,88640.3,4.716981132079368,20-40|11m-10m|10-20,619,95,5,0.71,2025-12-31 09:51:12,,0.06999999999999995,RSI_SIGNAL,,2025-12-31,20-40,11m-10m,10-20,True,9,0.6-0.7,0-10
PUT,0.29,2025-12-31 09:51:12,88616.4,88640.0,97.22222222214587,20-40|9m-8m|20-30,528,95,5,0.04,2025-12-31 09:57:19,,-0.24999999999999997,RSI_SIGNAL,,2025-12-31,20-40,9m-8m,20-30,False,9,0.2-0.3,90-100
CALL,0.96,2025-12-31 09:57:19,88616.4,88656.3,2.34604105584863,20-40|3m-2m|30-40,161,95,10,0.97,2025-12-31 09:57:56,,0.010000000000000009,RSI_SIGNAL,,2025-12-31,20-40,3m-2m,30-40,True,9,0.9-1.0,0-10
PUT,0.03,2025-12-31 09:57:56,88616.4,88670.2,95.4248366010635,40-80|3m-2m|30-40,124,95,10,0.01,2025-12-31 09:58:35,,-0.019999999999999997,RSI_SIGNAL,,2025-12-31,40-80,3m-2m,30-40,False,9,0.0-0.1,90-100
PUT,0.55,2025-12-31 10:00:38,88630.3,88643.0,95.6834532371796,10-20|15m-13m|10-20,862,95,10,0.31,2025-12-31 10:03:19,,-0.24000000000000005,RSI_SIGNAL,,2025-12-31,10-20,15m-13m,10-20,False,10,0.5-0.6,90-100
CALL,0.69,2025-12-31 10:03:19,88630.3,88675.0,10.526315789957408,40-80|13m-11m|0-10,701,95,25,0.74,2025-12-31 10:06:40,,0.050000000000000044,RSI_SIGNAL,,2025-12-31,40-80,13m-11m,0-10,True,10,0.6-0.7,10-20
PUT,0.26,2025-12-31 10:06:40,88630.3,88697.3,98.2107355863807,40-80|9m-8m|40-60,500,95,35,0.23,2025-12-31 10:07:33,,-0.03,RSI_SIGNAL,,2025-12-31,40-80,9m-8m,40-60,False,10,0.2-0.3,90-100
CALL,0.77,2025-12-31 10:07:33,88630.3,88696.5,33.333333332409396,40-80|8m-7m|20-30,447,95,35,0.64,2025-12-31 10:08:50,,-0.13,RSI_SIGNAL,,2025-12-31,40-80,8m-7m,20-30,False,10,0.7-0.8,30-40
PUT,0.36,2025-12-31 10:08:50,88630.3,88666.6,95.96774193548671,20-40|7m-6m|40-60,370,95,35,0.0,2025-12-31 10:15:00,88767.0,-0.36,EXPIRATION,False,2025-12-31,20-40,7m-6m,40-60,False,10,0.3-0.4,90-100
PUT,0.51,2025-12-31 10:15:41,88767.0,88784.7,97.0037453182896,10-20|15m-13m|20-30,859,95,30,0.51,2025-12-31 10:17:45,,0.0,RSI_SIGNAL,,2025-12-31,10-20,15m-13m,20-30,False,10,0.5-0.6,90-100
CALL,0.49,2025-12-31 10:17:45,88767.0,88784.3,12.643678160219721,10-20|13m-11m|0-10,735,95,20,0.47,2025-12-31 10:19:02,,-0.020000000000000018,RSI_SIGNAL,,2025-12-31,10-20,13m-11m,0-10,False,10,0.4-0.5,10-20
PUT,0.53,2025-12-31 10:19:02,88767.0,88790.0,98.23321554765376,20-40|11m-10m|30-40,658,95,10,0.66,2025-12-31 10:25:42,,0.13,RSI_SIGNAL,,2025-12-31,20-40,11m-10m,30-40,True,10,0.5-0.6,90-100
CALL,0.34,2025-12-31 10:25:42,88767.0,88745.9,3.90243902459801,20-40|5m-4m|40-60,258,95,5,0.28,2025-12-31 10:27:30,,-0.06,RSI_SIGNAL,,2025-12-31,20-40,5m-4m,40-60,False,10,0.3-0.4,0-10
